Code,Commerce,Propriety,Corruption,Finance,Taxation,Monetary,Entrepreneurship,Investment,Work,Expenditures,Global
AFG,,,,,,,,,,,
ZAF,76,3,50,45,60,70,7,75,75,8,45
ALB,79,8,35,33,70,91,4,78,6,78,2
DZA,72,8,30,29,30,82,9,76,3,66,3
DEU,87,1,90,79,60,61,3,83,5,90,5
AGO,65,2,20,19,40,84,1,61,2,45,5
SAU,82,3,45,47,50,99,6,64,9,87,5
ARG,67,6,20,29,30,65,5,60,7,61,40
ARM,85,4,30,26,70,89,3,73,1,87,8
AUS,86,2,90,87,90,63,4,84,5,91,9
AUT,87,2,90,79,70,50,5,82,2,70,3
AZE,77,2,20,24,40,84,9,74,5,68,6
BHR,82,8,55,49,80,99,9,70,4,76,5
BGD,54,20,24,20,72,8,67,5,68,5,55
BLR,80,4,20,25,10,86,6,65,3,71,3
BEL,87,1,80,71,70,44,8,81,2,92,3
BEN,59,3,30,28,50,76,2,79,7,42,9
BTN,49,5,60,57,30,83,8,72,6,59,7
BOL,74,3,10,28,50,87,72,8,56,5,20
BIH,86,20,32,60,84,3,80,7,55,2,70
BWA,79,7,70,58,70,78,3,72,4,69,1
BRA,69,7,50,37,60,69,1,75,8,53,7
BGR,87,1,30,36,60,93,6,77,8,72,7
BFA,72,5,30,31,50,80,4,81,4,62,8
BDI,78,9,20,18,30,72,2,70,9,46,1
KHM,65,2,30,21,50,91,1,80,7,40,7
CMR,54,9,30,22,50,69,3,70,9,47,1
CAN,87,9,90,89,80,79,2,77,3,96,6
CPV,66,9,65,51,60,77,3,80,5,59,65
CAF,57,8,20,21,30,65,2,74,6,37,3
CHL,82,90,72,70,77,4,85,6,68,6,80
CHN,71,6,20,35,30,70,4,74,2,46,4
CYP,82,1,70,63,70,83,3,85,7,81,6
COL,72,2,50,35,60,76,78,7,89,4,65
COM,69,4,30,21,20,64,9,78,3,41,5
COG,60,7,10,21,30,61,3,71,40,6,20
COD,63,10,20,20,72,5,51,2,38,7,20
PRK,0,5,5,0,0,0,0,0,0,0,1
KOR,72,6,70,54,70,72,8,78,9,93,6
CRI,85,1,55,53,50,82,8,73,4,57,6
CIV,70,3,20,22,50,78,1,81,7,42,7
HRV,87,5,40,41,60,76,4,81,4,63,4
CUB,62,7,10,37,10,61,5,71,3,10,0
DNK,87,1,90,93,90,39,8,80,7,99,1
DJI,59,6,30,32,60,80,3,77,2,30,5
DOM,80,1,30,30,40,85,8,75,1,55,5
EGY,74,35,31,40,89,7,62,3,63,8,65
ARE,82,6,55,63,50,99,9,80,9,68,35
ECU,68,1,20,25,40,78,3,66,8,54,1
ERI,69,1,10,26,20,57,52,9,17,1,0
ESP,87,1,70,61,80,61,3,81,5,81,3
EST,87,1,80,65,80,79,1,79,3,75,7
USA,86,4,85,71,70,69,8,77,2,91,1
ETH,65,6,30,27,20,74,8,67,1,64,4
FIN,87,1,90,92,80,65,4,81,3,94,9
FRA,82,1,80,68,70,53,8,82,3,83,7
GAB,61,1,40,28,40,73,5,77,7,57,7
GMB,60,5,30,32,50,75,71,56,3,60,67
GEO,89,2,40,38,60,87,8,74,4,86,9
GHA,67,8,50,41,60,81,9,66,9,62,9
GRC,82,1,50,35,60,65,3,72,6,76,3
GTM,84,6,30,32,50,79,6,77,3,48,5
GIN,61,2,20,20,40,69,3,67,1,38,5
GNQ,58,8,20,19,40,75,5,73,1,44,7
GNB,65,3,20,21,30,88,7,75,9,40,5
GUY,71,5,30,27,30,64,77,4,65,5,30
HTI,74,8,10,22,30,80,6,76,33,3,30
HND,77,1,30,24,60,83,7,74,1,60,6
HUN,87,1,70,47,70,78,6,76,1,79,8
IND,64,1,50,33,40,76,1,62,9,35,5
IDN,73,9,30,28,40,83,5,75,2,54,6
IRQ,,,,,,,,,,,
IRN,45,7,10,22,10,80,6,62,64,8,0
IRL,87,1,90,80,70,73,9,76,7,92,8
ISL,88,2,90,85,60,73,5,72,5,92,65
ISR,83,6,70,61,70,64,1,79,64,4,80
ITA,87,1,50,39,60,55,82,77,4,75,43
JAM,72,1,40,33,60,75,5,72,4,84,7
JPN,81,8,80,78,50,67,1,88,9,81,8
JOR,79,6,55,47,60,93,5,81,2,69,5
KAZ,79,6,40,29,50,90,4,71,8,72,9
KEN,66,7,30,21,50,77,7,79,1,61,7
KGZ,63,2,20,20,50,93,1,71,74,1,55
KWT,81,6,50,45,50,99,9,71,3,61,8
LAO,58,7,15,21,20,79,8,76,9,61,6
LSO,69,1,40,35,40,49,1,75,5,57,5
LVA,87,1,50,43,50,84,3,79,1,75,9
LBN,80,4,25,25,60,90,8,76,9,53,9
LBR,53,8,30,33,20,76,6,71,8,55,9
LBY,85,10,22,20,80,2,73,6,20,10,20
LTU,87,1,60,50,80,93,6,79,3,79,2
LUX,87,1,90,85,80,63,6,81,3,75,9
MKD,83,6,35,41,60,91,2,86,1,80,9
MDG,73,5,40,26,50,88,3,76,71,1,55
MYS,78,8,50,44,50,84,5,81,6,78,1
MWI,70,9,45,34,50,79,3,72,6,42,50
MLI,73,2,30,27,40,60,1,80,7,50,8
MAR,75,7,40,34,60,69,7,77,9,77,2
MUS,87,9,65,54,70,91,9,78,3,78,7
MRT,69,9,25,23,40,80,5,75,5,51,3
MEX,72,9,50,31,60,80,7,76,5,82,60
MDA,79,40,29,50,86,5,74,4,70,35,41
MNG,79,8,30,27,60,88,5,74,3,67,7
MON,83,6,40,37,50,91,3,81,2,69,2
MOZ,81,1,30,27,50,77,1,74,8,66,8
MMR,,,,,,,,,,,
NAM,86,5,30,44,40,65,7,74,4,70,8
NPL,61,5,30,22,30,86,74,9,53,6,10
NIC,84,9,15,25,50,77,1,74,51,2,55
NER,71,7,30,26,40,76,9,86,4,35,9
NGA,63,9,30,24,40,84,3,72,55,6,40
NOR,89,3,90,86,60,52,5,75,1,88,4
NZL,86,8,95,93,80,71,6,85,2,99,9
OMN,83,7,50,53,60,98,4,72,1,68,2
UGA,73,6,30,25,60,80,4,74,6,49,1
UZB,66,1,15,16,10,94,4,64,2,67,6
PAK,66,30,23,40,80,6,66,3,70,35,47
PAN,74,8,40,36,70,84,6,77,8,74,4
PNG,84,8,20,21,30,68,3,73,2,59,35
PRY,82,7,30,22,60,96,9,81,4,59,8
NLD,87,1,90,88,80,51,2,83,6,81,9
PER,85,40,35,60,79,7,85,5,72,70,68
PHL,75,5,30,24,50,79,1,77,1,54,3
POL,87,1,60,53,60,74,4,79,1,61,4
PRT,87,1,70,60,60,59,82,6,83,70,32
QAT,82,5,70,77,50,99,7,77,1,69,7
ROM,87,1,40,37,50,87,4,74,3,70,5
GBR,87,1,90,76,80,56,4,73,9,94,7
RUS,68,2,25,21,40,82,5,66,3,65,1
RWA,78,35,40,40,77,2,75,2,73,6,60
SLV,79,40,36,70,85,5,82,1,63,2,75
SEN,72,2,40,29,40,65,4,81,6,58,4
YUG,77,9,40,35,50,84,1,68,56,5,60
SLE,62,8,10,24,20,80,9,70,1,51,8
SGP,90,90,93,70,91,3,84,8,97,2,75
SVK,87,1,50,43,70,84,2,83,5,71,75
SVN,87,1,60,64,50,64,8,81,2,81,4
SOM,,,,,,,,,,,
SDN,,,,,,,,,,,
LKA,77,1,40,32,40,73,5,68,5,78,30
SWE,87,1,90,92,80,39,1,80,9,94,6
CHE,90,90,87,80,67,9,84,4,77,9,80
SUR,66,3,40,37,30,63,2,74,5,40,7
SWZ,69,7,40,32,40,67,2,74,5,66,4
SYR,72,8,30,25,20,84,4,70,9,60,1
TJK,82,5,20,21,40,89,67,4,61,6,20
TWN,85,70,58,50,80,4,83,1,88,5,65
TZA,73,5,30,27,50,79,7,69,4,45,2
TCD,55,6,20,17,40,50,2,72,5,24,9
CZE,87,1,70,46,80,82,81,5,67,7,70
THA,75,2,45,35,70,75,1,69,3,72,5
TGO,61,7,30,24,30,68,6,78,3,34,8
TTO,69,9,50,36,70,85,5,70,1,60,1
TUN,58,1,40,43,30,74,8,76,9,82,9
TKM,79,2,10,16,10,98,4,71,30,0,30
TUR,85,4,50,44,60,77,7,71,9,67,1
UKR,84,4,30,24,30,78,2,67,7,46,2
URY,82,9,70,69,30,81,2,73,4,74,9
VEN,58,8,5,20,20,74,8,46,4,47,3
VNM,79,6,15,27,30,76,5,75,1,61,1
YEM,81,5,30,22,30,83,1,69,3,71,5
ZMB,82,3,30,30,50,73,3,64,9,61,2
ZWE,50,4,10,24,10,65,2,0,34,9,0
